LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
UCLA-296,---,"8760","165",0,Iran,Chagha Sefid,"-",n.d.,---,phase Mohammad Jaffar,phase Mohammad Jaffar,---,PN,PN, 7900 +- 230,8360 - 7440,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","723"
UCLA-310,---,"9530","145",0,Iran,Chagha Sefid,"-",n.d.,---,phase Sefid,phase Sefid,---,PN,PN, 8910 +- 230,9370 - 8450,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","727"
UCLA-295,---,"9690","100",0,Iran,Chagha Sefid,"-",n.d.,---,phase Sefid,phase Sefid,---,PN,PN, 9060 +- 180,9420 - 8700,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","722"
UCLA-305,---,"10425","145",0,Iran,Chagha Sefid,"-",n.d.,---,phase Ali Kosh,phase Ali Kosh,---,PPN,ACN, 10380 +- 270,10920 - 9840,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","720"
UCLA-300,---,"11270","90",0,Iran,Chagha Sefid,"-",n.d.,---,phase Sefid,phase Sefid,---,PN,PN, 11210 +- 90,11390 - 11030,05.03 Lower Mesopotamia,32.63,47.26,---,Banadora: date trop ancienne selon le fouilleur,"Hole 1977, Hole 1987","725"
P-503,---,"5986","87",0,Iran,Dalma,"-",soil,ash,phase Dalma,phase Dalma,---,Dalma,CH, 4890 +- 110,5110 - 4670,07.01 N-Zagros,36.99,45.31,---,"Banadora: se place entre Hajji Firuz et Pisdeli Tepe (le nveau plus ancien de la periode Dalma), pre-traitement � la soude (NaOH)","Stuckenrath 1963, Hole 1987, Chataigner 1995","742"
SI-4734,---,"8110","70",0,Iran,Ganj Dareh,"-",n.d.,---,level B,level B,---,PPN,ACN, 7090 +- 140,7370 - 6810,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1093"
SI-4739,---,"8140","70",0,Iran,Ganj Dareh,"-",n.d.,---,level D,level D,---,PPN,ACN, 7170 +- 110,7390 - 6950,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1098"
SI-925,---,"8385","75",0,Iran,Ganj Dareh,"-",charcoal,---,"level E, below -7,80 m","level E, below -7,80 m",---,PPN,ACN, 7430 +- 90,7610 - 7250,07.01 N-Zagros,34.42,47.57,or 8340 +- 80 BP?,---,Hole 1987,"1104"
SI-4736,---,"8450","70",0,Iran,Ganj Dareh,"-",n.d.,---,level C,level C,---,PPN,ACN, 7490 +- 80,7650 - 7330,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1095"
SI-4735,---,"8460","70",0,Iran,Ganj Dareh,"-",n.d.,---,level B,level B,---,PPN,ACN, 7500 +- 70,7640 - 7360,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1094"
SI-4738,---,"8485","70",0,Iran,Ganj Dareh,"-",n.d.,---,level D,level D,---,PPN,ACN, 7530 +- 60,7650 - 7410,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1097"
SI-4733,---,"8525","70",0,Iran,Ganj Dareh,"-",n.d.,---,level B,level B,---,PPN,ACN, 7570 +- 50,7670 - 7470,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1092"
SI-4740,---,"8535","70",0,Iran,Ganj Dareh,"-",n.d.,---,level D,level D,---,PPN,ACN, 7580 +- 60,7700 - 7460,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1099"
SI-922,---,"8570","210",0,Iran,Ganj Dareh,"-",charcoal,---,"level E, -6,70 m, sous le sol � -6,55 m","level E, -6,70 m, sous le sol � -6,55 m",---,PPN,ACN, 7680 +- 290,8260 - 7100,07.01 N-Zagros,34.42,47.57,---,"Banadora: date trop jeune, le dates SI-923, 924, 925 sont assi trop jeunes","Stuckenrath and Mielke 1973, Hole 1987","1101"
SI-4732,---,"8590","70",0,Iran,Ganj Dareh,"-",n.d.,---,level A,level A,---,PPN,ACN, 7650 +- 80,7810 - 7490,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1091"
SI-923,---,"8625","195",0,Iran,Ganj Dareh,"-",charcoal,---,"level E, -7,50 � -7,60 m","level E, -7,50 � -7,60 m",---,PPN,ACN, 7780 +- 260,8300 - 7260,07.01 N-Zagros,34.42,47.57,---,---,Hole 1987,"1102"
SI-924,---,"8640","90",0,Iran,Ganj Dareh,"-",charcoal,---,level E,level E,---,PPN,ACN, 7730 +- 130,7990 - 7470,07.01 N-Zagros,34.42,47.57,---,---,Hole 1987,"1103"
SI-4737,---,"8650","70",0,Iran,Ganj Dareh,"-",n.d.,---,level C,level C,---,PPN,ACN, 7710 +- 100,7910 - 7510,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992, Banadora","1096"
OxA-2102,---,"8690","110",0,Iran,Ganj Dareh,"-",seeds,"Hordeum, charred",level E,level E,---,---,PN, 7810 +- 170,8150 - 7470,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1087"
B-108241,---,"8720","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 240-260cm","level B, depth 240-260cm",---,PPN,ACN, 7770 +- 120,8010 - 7530,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5692"
B-108238,---,"8780","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level A, depth 180-200cm","level A, depth 180-200cm",---,PPN,ACN, 7880 +- 150,8180 - 7580,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5689"
B-108240,---,"8780","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 220-240cm","level B, depth 220-240cm",---,PPN,ACN, 7880 +- 150,8180 - 7580,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5691"
B-108247,---,"8830","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 665-675cm","level E, depth 665-675cm",---,PPN,ACN, 7980 +- 160,8300 - 7660,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5698"
OxA-2099,---,"8840","110",0,Iran,Ganj Dareh,"-",seeds,"Hordeum, charred",level B,level B,---,---,PN, 7960 +- 200,8360 - 7560,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1084"
B-108244,---,"8840","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level D, depth 430-460cm","level D, depth 430-460cm",---,PPN,ACN, 7990 +- 160,8310 - 7670,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5695"
