site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
TCEC107,Ganj Dareh,E,,SI-924,charcoal,,8640,90,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-925,charcoal,,8340,80,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 107,AAR28719,Charcoal (Mandel),,8868,43,33.16 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 139,AAR28720,Charcoal (Mandel),,8661,41,34.02 ± 0.17,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 164,AAR28721,Charcoal (Pistacie),,8831,45,33.31 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 284,AAR28722,Charcoal (Mandel),,8812,44,33.39 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 310,AAR28723,Charcoal (Mandel),,8926,47,32.92 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 323,AAR28724,Charcoal (Pistacie),,8955,48,32.8 ± 0.2,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 346,AAR28725,Charcoal (Pistacie),,8875,57,33.13 ± 0.23,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 336,AAR28726,Charcoal (Pistacie),,8920,45,32.94 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 349,AAR28727,Charcoal (Pistacie),,8837,42,33.28 ± 0.17,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 352,AAR28728,Charcoal (Pistacie),,8788,62,33.49 ± 0.26,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 360,AAR28729,Charcoal (Mandel),,8780,47,33.52 ± 0.2,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 378,AAR28730,Organic material,,8826,43,33.33 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 380,AAR28731,Charcoal (Mandel),,8832,43,33.3 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,,GD 393,AAR28732,Charcoal (Mandel),,8749,43,33.65 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
