site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,reference,source,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,comment
TCEC51,Tepe Guran,L,,B-177116,bone collagen,,8130,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,V,,B-177117,bone collagen,,8280,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,B-177131,bone collagen,,7810,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,U,,K-1006,charcoal,Pistacia,8410,200,,"Tauber 1968, Hole 1987a",Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,K-879,charcoal,,7760,150,,Hole 1987a,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,UNKNOWN-001,charcoal,,5810,150,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,U,,UNKNOWN-002,charcoal,,6460,200,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,V,,UNKNOWN-003,charcoal,,6720,200,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
,Yanik,P5,,P-1243,charcoal,,6926,80,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Yanik,P7,,P-1244,charcoal,,7035,69,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-179,charcoal,,12400,400,,"Hole and Flannery 1967, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-667,charcoal,,10600,300,,"Rubin and Alexander 1960, Solecki, R.S. 1963, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-681,charcoal,,10800,300,,"Rubin and Alexander 1960, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zeribar,,,Y-1160,pollen,,14800,300,,Hole 1987,CONTEXT,,,,,,,,,,,
,Zeribar,,,Y-934,pollen,,5460,120,,Hole 1987,CONTEXT,,,,,,,,,,,
